nid,mid,did,lid
,p88sdz0lenjs,,yxrp2o3r1xg1
,xvddexr42mv4,,zmvz8jg08lsl
,6ad1zdmhq74m,,eurek5v2z5mc
,yl1amzxqmef6,,q1yd2l0717cb
,wqxznlsa0l2g,,ga6ix3d3u4nr
,6pyxwf7h6lnw,,fxplsw3zcpz6
,zlni4ku5cmsq,,won18u7lrxah
,19ir4doiizsi,,o1vq5y3ep4cu
,lklv6yfo8jdv,,4uyw69lbg4d3
,xjgcmxv1vdkl,,mfx02o3gq58x
,chdp4bys98vt,,qylotq1hayyy
,jc6qiboj0lof,,f661r3s1fs4h
,824dx04x9ri9,,0jqoahd5174g
,4yrgue7aws0o,,2s3f57vggi6m
,g8ojoac3n13p,,xzz1d3w669mj
,xv78l6n3p3ac,,c3cunve037ua
,kap6d0szs09p,,wxx5ccaqt8df
,hx5lplorbg1p,,0d6hg38eq9x5
,n6afytm5o07q,,ah7s8ad9ee8f
,wf75358kelb3,,ulwjv7eqv3g2
,ivcnv5oosg2m,,b3c6drjcr2s8
,nhj9f9hh8cma,,veqpggxhun91
,cyr9gnb0o0n7,,hvytf2lx00tc
,1pstk2gc3vjj,,1db1cuoj7llf
,oxrtt1nk2cfi,,jr6ysyi0864k
,3z1w83rbu415,,2rgfhgzdwbko
,ilink8xxpp43,,a2sl2srxwces
u56295awrdjk,lmb5x78so8pc,et33y804x0a0,1cpkynz76n6t
m1u0yofa7ai5,zl5op5sd9c31,bcnl32ufgisl,w945wlgdzsn0
vrhfc18u4guk,tzfsmu5o2i8x,rxcqvrpzi67q,5f6amyykvw03
2rfxn59xttu7,osomuxvcxqi8,jqpc3r1f3c4m,vwepoxbzluwp
f6pncudapses,0d8enpaznsar,,z5d2mfwkr2ci
0chd6x53nxsq,rxxquj40m5yv,,0wrneltwi5yp
ehwkvgfl416b,aydswrz2i1x3,,8dwlo33x6y87
g2go4rkhacw1,83fgenydc0m1,,a7oa602jajv4
iqr8jurwq39o,zuxp1wsio0je,,x105wtdxadeu
iro0rf47ekxs,503pmbay727f,,vi18n7w6aga9
m1smg4is0aap,qmnlupxzxop7,,pdczxw7dy34f
car82aprp3c3,3q9mg0d146re,,1nvhtq8z2y7f
,2tl5d0xfsnm3,,z9kymsrenxwf
,vcpo7bjoxlkw,,i8vtoddjfug1
,aulbkehph0vv,,fxpvebn9wfxd
,f89crkgexyuo,,moujmbgp8s21
,yngig6fnw9w4,,gncif5rjwigu
,g5huauy5dvna,,nvcgf0j6kmne
,qem39hcu8e21,,ir9xrdu7a450
,fhk8l5oiswfk,,nyiep6kz110r
,m8l0phom5wsx,,vq9zcpin5amy
,cv73kn8tvrij,,
,720pl8g3hp21,,
,twa5d85o13j9,,
,niynphbi8b0u,,
,9x8vus084btl,,
,nin0ihzkqpmw,,
,y3h9iqx2gd0z,,
,h6edk23wjm8l,,
,soz55r6j1g7s,,
1m45kr3sygdl,v4i55vstzq8q,,
0050vw28ln7b,56gmox9urmak,,
k27dkqxnerpj,2jyniz8froy4,,
jtiubnnrkl39,x7dl4rb564j4,,
robciguigsl7,zlspd8mb5kfe,,
lwg3ipijliez,lxuka91zyq0z,,
u12lkf5d35bt,biihrfxjozlb,,
t4wlzhkq4iwg,b963kwo2nibg,,
uaza6nl9xpg1,i2no6z8pq2gc,,
rzfbex8pbz3v,rmjq4k6z25vc,,
g08dunm7o6un,mqrvi6lxe52z,,
xcheqg258v2k,g5m6olwq60oh,,y1hx0s3nhubb
qqypt9e8jkcw,20gled2qppmc,,xr4215bmij07
5knh3xgck8ex,oar6rqwz8moy,,134xgi8jr8xl
54w2kral21ja,v3772knkwwcw,,a2e1cxge5p5l
jps0cri5vlei,pobd4wfddhq4,,p6slms725zmi
4rgntevumkg5,26ub69dz95mw,,gfreje59i9va
tjqfjs5arx7m,,,iibgnhvydcci
a3e27bgubqbm,,,mvsentm37dvg
3bm0u5erym7b,,,uy2o353wte7z
587tqnbr4d7i,,,qkhws4cg45d7
zf8esuxuzn46,,,c7ikprds2d5f
yd8h34gpuoeb,,,yxrp2o3r1xg1
lufi62kyrsdg,,,zmvz8jg08lsl
gt1el4x0s4cy,,401xl3riuokp,eurek5v2z5mc
2q7c84d4iwgu,,4sy2p3cqtnkq,q1yd2l0717cb
cnhfm7zj4h07,,nke7o5dtcys6,ga6ix3d3u4nr
51l3mfdpll5w,,vyhbfl1sw5km,fxplsw3zcpz6
si4izgzd89qw,,f3tk15h6mv2m,won18u7lrxah
7p3rkzsg0hjk,,vuyh311a6p0p,o1vq5y3ep4cu
dy0iwfc8xr8a,,7bmxf8wu7qxu,4uyw69lbg4d3
uz8yzqpq3ah5,,od90ssoq7w7z,mfx02o3gq58x
177aa3jnkk5k,,ciyjxwecx4vp,qylotq1hayyy
suydph7n6hej,,kteiikpzl1xa,f661r3s1fs4h
8adnflm98ddu,,5d1546xoh57f,0jqoahd5174g
p7hdkk8byt7i,,79jrjdquk242,2s3f57vggi6m
jopmpz5yk6fq,,olfb4xrxzn6d,xzz1d3w669mj
w8wp299jchyu,,b01512z92gze,c3cunve037ua
qi4ehp9uubgx,,5537t87i80fa,wxx5ccaqt8df
m6tx6xupki51,,u2hayy7kdnpv,0d6hg38eq9x5
p81lark46l4k,,5yiykasuvu39,ah7s8ad9ee8f
noul0qid5ikx,,t6amnxzpx35z,ulwjv7eqv3g2
epy2nhcyt2lm,,dkrumpzwxxwx,b3c6drjcr2s8
40gdmwb6clm9,,mqsqv91l49ky,veqpggxhun91
azp360civje1,,8s0liqaas2lp,hvytf2lx00tc
28up4t9y6p83,,rzeimpj99afu,1db1cuoj7llf
qf9u1ueuvspc,,hhmdpnssf1t4,jr6ysyi0864k
zs27ejmph8kw,,by6morzt6mg1,2rgfhgzdwbko
6zatybkakfwj,ilink8xxpp43,1kb8dgzpfm41,a2sl2srxwces
8qni70evh11h,i38ughlxxst6,x3t13wtx4p3r,3shc6lppm6x8
qc4hzo5cue93,11q7watjvkzi,w17x10dg611n,05h8lsk8usq5
0cfl4vieycwc,f7c89wka52ap,ukzdxh50ldwf,ossi56ryl5cs
yljf00jvs080,3dqmwznvdcdr,eyycmbvpa8i8,cp8veyv4hlcj
od0ub60qcxb8,xc8iva8ja4y3,bq28zsdmwtvx,yzrhwg8tea5f
tw3oollz7thn,bnkcf3hn8e8k,2egz7zg7po0a,p970ybwi8v9l
hnjr1d0i0akq,l7og1lo4088o,qjoqdq2lwz3u,80ondev6uehq
9gnarazxtdcb,s8af5l7hoj90,whdg0vf5ojvr,frokjc3ha98u
d3vahucu9pl3,9grgjx75j2cd,tm6fhim5nsw7,00hfblurdg5k
9snrawb26u58,kcfkhgs1xt1f,k771m2v308ye,cm5zqhvufa40
7p2obkzr6j1q,6p300v3862r1,ece5c0h16i3x,zukbwd2w3cim
5my155ixjbhu,bj9k2skk8k62,ckc4563hjv39,2dyja5x3fm51
1zbouwr3w6jv,jlfa7oclnudn,3ozb3uw72p5u,liqgo1ii25ln
oviiln9qyq9l,o1fvjyphdqjc,wyhxca6siek4,oxl6zecb54u2
8f39t4r56wss,k46dami52x5f,p3w0dt42w7h5,yapdw76xc6xe
v7xa2n8ko8rc,pq8x34l0k7v5,5qpvj331tz8o,0hv8tuiio419
tcu9oyoj3o18,8jjpqk2s0hw3,7wkpbckj0jhp,zch34ezoxmzc
4xj3jjm7b47a,rtw6njwfr7mg,wyzpo8xh58fb,d0be0rnfh0zz
fohl30yop3nm,rti2o2i9no7g,4rhuzxvygzll,lu2mck3zafbi
7iz4ns3ft7y1,zwc1zmqmy4pk,lf2sk4xgl531,jimfhq88ulxa
izmb8agph995,2ve2qr6k4g7m,0trn4dzzym59,m65vl9e6bf9w
u56295awrdjk,lmb5x78so8pc,et33y804x0a0,1cpkynz76n6t
,zl5op5sd9c31,bcnl32ufgisl,w945wlgdzsn0
,tzfsmu5o2i8x,rxcqvrpzi67q,5f6amyykvw03
,osomuxvcxqi8,jqpc3r1f3c4m,vwepoxbzluwp
,0d8enpaznsar,h3vg6hk6j3nd,z5d2mfwkr2ci
,rxxquj40m5yv,273avjyl08rz,0wrneltwi5yp
,aydswrz2i1x3,cokyx8z0outh,8dwlo33x6y87
,,sfkvwt1c8ik9,a7oa602jajv4
,,3r84thgei3jh,x105wtdxadeu
,,,vi18n7w6aga9
,qmnlupxzxop7,,pdczxw7dy34f
,3q9mg0d146re,,1nvhtq8z2y7f
,2tl5d0xfsnm3,,z9kymsrenxwf
,vcpo7bjoxlkw,,i8vtoddjfug1
,aulbkehph0vv,,fxpvebn9wfxd
,f89crkgexyuo,,moujmbgp8s21
,yngig6fnw9w4,,gncif5rjwigu
,g5huauy5dvna,,nvcgf0j6kmne
,qem39hcu8e21,,ir9xrdu7a450
,fhk8l5oiswfk,,nyiep6kz110r
,m8l0phom5wsx,,vq9zcpin5amy
,cv73kn8tvrij,,spbba0k5hnga
,720pl8g3hp21,,6qw0n8ebutz3
,twa5d85o13j9,,kduo1majzkyn
,niynphbi8b0u,,a03999zt9s5i
